id,name,description,logo_url,created_at,updated_at,active
19,Rolex,Rolex is a global brand known for quality.,https://logo.example.com/rolex.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
20,Gucci,Gucci is a global brand known for quality.,https://logo.example.com/gucci.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
21,Prada,Prada is a global brand known for quality.,https://logo.example.com/prada.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
22,Tesla,Tesla is a global brand known for quality.,https://logo.example.com/tesla.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
23,Ferrari,Ferrari is a global brand known for quality.,https://logo.example.com/ferrari.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
24,Porsche,Porsche is a global brand known for quality.,https://logo.example.com/porsche.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
25,Ford,Ford is a global brand known for quality.,https://logo.example.com/ford.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
26,Chevrolet,Chevrolet is a global brand known for quality.,https://logo.example.com/chevrolet.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
27,BMW,BMW is a global brand known for quality.,https://logo.example.com/bmw.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
28,Mercedes,Mercedes is a global brand known for quality.,https://logo.example.com/mercedes.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
29,Audi,Audi is a global brand known for quality.,https://logo.example.com/audi.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
30,Volkswagen,Volkswagen is a global brand known for quality.,https://logo.example.com/volkswagen.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
31,Zara,Zara is a global brand known for quality.,https://logo.example.com/zara.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
32,H&M,H&M is a global brand known for quality.,https://logo.example.com/h&m.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
33,Under Armour,Under Armour is a global brand known for quality.,https://logo.example.com/under armour.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
34,Reebok,Reebok is a global brand known for quality.,https://logo.example.com/reebok.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
35,Puma,Puma is a global brand known for quality.,https://logo.example.com/puma.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
36,Levi's,Levi's is a global brand known for quality.,https://logo.example.com/levi's.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
37,Gap,Gap is a global brand known for quality.,https://logo.example.com/gap.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
38,North Face,North Face is a global brand known for quality.,https://logo.example.com/north face.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
39,Patagonia,Patagonia is a global brand known for quality.,https://logo.example.com/patagonia.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
40,Columbia,Columbia is a global brand known for quality.,https://logo.example.com/columbia.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
41,KitchenAid,KitchenAid is a global brand known for quality.,https://logo.example.com/kitchenaid.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
42,Whirlpool,Whirlpool is a global brand known for quality.,https://logo.example.com/whirlpool.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
43,Dyson,Dyson is a global brand known for quality.,https://logo.example.com/dyson.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
44,GE,GE is a global brand known for quality.,https://logo.example.com/ge.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
45,Sharp,Sharp is a global brand known for quality.,https://logo.example.com/sharp.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
46,Hitachi,Hitachi is a global brand known for quality.,https://logo.example.com/hitachi.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
47,Seiko,Seiko is a global brand known for quality.,https://logo.example.com/seiko.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
48,Casio,Casio is a global brand known for quality.,https://logo.example.com/casio.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
49,Yamaha,Yamaha is a global brand known for quality.,https://logo.example.com/yamaha.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
50,Kawasaki,Kawasaki is a global brand known for quality.,https://logo.example.com/kawasaki.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
